0.53075,1.56593,0.80181,1.26952,0.90749,0.94251,1.22802,1.65856,1.68964,0.34823
1.20080,2.00000,0.91529,6.00000,1.77644,10.00000,0.43045,14.00000,1.45328,18.00000
0.18242,4.00000,0.58207,12.00000,0.15574,20.00000,0.71913,28.00000,0.87319,36.00000
0.16862,6.00000,0.84927,18.00000,0.42467,30.00000,1.74038,42.00000,1.28057,54.00000
0.33430,8.00000,1.87384,24.00000,0.25274,40.00000,1.78199,56.00000,0.60872,72.00000
1.17122,10.00000,1.84895,30.00000,0.50928,50.00000,1.55465,70.00000,0.32677,90.00000
0.73660,12.00000,0.41950,36.00000,1.90397,60.00000,1.57854,84.00000,1.75612,108.00000
1.11918,14.00000,1.56735,42.00000,0.80666,70.00000,0.93671,98.00000,1.84586,126.00000
0.46781,16.00000,0.80003,48.00000,1.11689,80.00000,0.45662,112.00000,0.45617,144.00000
1.06196,18.00000,1.12699,54.00000,0.47874,90.00000,1.38465,126.00000,1.85828,162.00000
