0.53,1.57,0.80,1.27,0.91,0.94,1.23,1.66,1.69,0.35
1.20,2.00,0.92,6.00,1.78,10.00,0.43,14.00,1.45,18.00
0.18,4.00,0.58,12.00,0.16,20.00,0.72,28.00,0.87,36.00
0.17,6.00,0.85,18.00,0.42,30.00,1.74,42.00,1.28,54.00
0.33,8.00,1.87,24.00,0.25,40.00,1.78,56.00,0.61,72.00
1.17,10.00,1.85,30.00,0.51,50.00,1.55,70.00,0.33,90.00
0.74,12.00,0.42,36.00,1.90,60.00,1.58,84.00,1.76,108.00
1.12,14.00,1.57,42.00,0.81,70.00,0.94,98.00,1.85,126.00
0.47,16.00,0.80,48.00,1.12,80.00,0.46,112.00,0.46,144.00
1.06,18.00,1.13,54.00,0.48,90.00,1.38,126.00,1.86,162.00
